File: p13_cgo_harness_alloc.test
Build ID: 8c08114734c0c549a92d17d6d8da009b2d5d3063
Type: alloc_space
Time: 2026-08-21 14:25:23 PDT
Showing nodes accounting for 354.61MB, 97.11% of 365.16MB total
Dropped 44 nodes (cum <= 1.83MB)
      flat  flat%   sum%        cum   cum%
         0     0% 97.11%     3.56MB  0.98%  github.com/odvcencio/gotreesitter.cRecoveryMergeCostsDiffer
         0     0% 97.11%     3.56MB  0.98%  github.com/odvcencio/gotreesitter.cStackErrorCostForMergeCached
         0     0% 97.11%     3.56MB  0.98%  github.com/odvcencio/gotreesitter.cStackErrorCostForMergeWithScratch
         0     0% 97.11%     2.53MB  0.69%  github.com/odvcencio/gotreesitter.executeDiagnosticParserCoreGenericSchedulerFromSeedInto
         0     0% 97.11%     3.56MB  0.98%  github.com/odvcencio/gotreesitter.mergeStacksSmallForLanguage
         0     0% 97.11%     3.56MB  0.98%  github.com/odvcencio/gotreesitter.mergeStacksWithScratch
         0     0% 97.11%     4.35MB  1.19%  github.com/odvcencio/gotreesitter.newLeafNodeInArena
         0     0% 97.11%     6.11MB  1.67%  github.com/odvcencio/gotreesitter.newParentNodeInArenaWithFieldSources
         0     0% 97.11%     3.56MB  0.98%  github.com/odvcencio/gotreesitter.stackEquivalentForMergeState
         0     0% 97.11%     2.22MB  0.61%  github.com/odvcencio/gotreesitter/cgo_harness.(*p13ProfileCapture).writeProfile
         0     0% 97.11%   365.16MB   100%  github.com/odvcencio/gotreesitter/cgo_harness.BenchmarkP13TimerIsolated.func1
         0     0% 97.11%    46.12MB 12.63%  github.com/odvcencio/gotreesitter/cgo_harness.admitCanonicalGoIncrementalCase
         0     0% 97.11%    46.12MB 12.63%  github.com/odvcencio/gotreesitter/cgo_harness.admitCanonicalGoIncrementalDirection
         0     0% 97.11%   319.05MB 87.37%  github.com/odvcencio/gotreesitter/cgo_harness.benchmarkCanonicalGoIncremental
         0     0% 97.11%   312.25MB 85.51%  github.com/odvcencio/gotreesitter/cgo_harness.benchmarkCanonicalGoIncremental.func2
         0     0% 97.11%     2.53MB  0.69%  github.com/odvcencio/gotreesitter/internal/parsercorephase0.(*Core).ReserveRecordArenas
         0     0% 97.11%     2.22MB  0.61%  runtime/pprof.(*Profile).WriteTo
         0     0% 97.11%     2.22MB  0.61%  runtime/pprof.writeHeapInternal
         0     0% 97.11%     2.22MB  0.61%  runtime/pprof.writeHeapProto
         0     0% 97.11%   365.16MB   100%  testing.(*B).run1.func1
         0     0% 97.11%   365.16MB   100%  testing.(*B).runN
