File: p13_cgo_harness.test
Build ID: 709cbead639fc959c0bd4df7626fce7f43dbcbca
Type: cpu
Time: 2026-08-21 14:22:26 PDT
Duration: 2.01s, Total samples = 360ms (17.93%)
Showing nodes accounting for 360ms, 100% of 360ms total
      flat  flat%   sum%        cum   cum%
         0     0% 55.56%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*Parser).cCondenseVersionStatus
         0     0% 55.56%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*Parser).cStackErrorCost
      10ms  2.78% 58.33%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*Parser).cStackPrefixAgg
         0     0% 58.33%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*Parser).canCollapseInvisibleUnaryWrapper
         0     0% 58.33%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*Parser).collapseUnaryChildForReductionWithRule
         0     0% 58.33%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*Parser).collapsibleRawUnarySelfReduction
         0     0% 58.33%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*Parser).collapsibleUnarySelfReduction
         0     0% 58.33%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*Parser).ensureParseInitialCapacity
      10ms  2.78% 61.11%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*Parser).materializationParseStopReason
      10ms  2.78% 63.89%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*Parser).reduceProductionHasEffectiveFields (inline)
         0     0% 63.89%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*Parser).resultMaterializationStopReason
         0     0% 63.89%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*Parser).tryFastUnaryCollapseFromGSS
         0     0% 63.89%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).glrUnionScanForState
         0     0% 63.89%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).nextTokenForLexState
         0     0% 63.89%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).scanDFATokenForState
         0     0% 63.89%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).scanPreferredTokenForState
         0     0% 63.89%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*nodeArena).allocNodeFieldMetadata
         0     0% 63.89%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*nodeArena).ensureNodeCapacity
      10ms  2.78% 66.67%       10ms  2.78%  github.com/odvcencio/gotreesitter.(*nodeArena).storeRawShapeHash (inline)
         0     0% 66.67%       10ms  2.78%  github.com/odvcencio/gotreesitter.applyDirectFieldToUnassignedFlattenedSpan
         0     0% 66.67%       10ms  2.78%  github.com/odvcencio/gotreesitter.applyFieldToFlattenedSpan
         0     0% 66.67%       10ms  2.78%  github.com/odvcencio/gotreesitter.applyParentFieldToFlattenedHiddenSpan
         0     0% 66.67%       10ms  2.78%  github.com/odvcencio/gotreesitter.assignAllUnassignedFlattenedFields
      10ms  2.78% 69.44%       10ms  2.78%  github.com/odvcencio/gotreesitter.cSymbolVisibleLang (inline)
      10ms  2.78% 72.22%       10ms  2.78%  github.com/odvcencio/gotreesitter.extendParentSpanToWindow
         0     0% 72.22%       10ms  2.78%  github.com/odvcencio/gotreesitter.flattenedFieldTargetEligible (inline)
         0     0% 72.22%       10ms  2.78%  github.com/odvcencio/gotreesitter.gssEntryHash
         0     0% 72.22%       10ms  2.78%  github.com/odvcencio/gotreesitter.gssMainCanMergeWithScratch
         0     0% 72.22%       10ms  2.78%  github.com/odvcencio/gotreesitter.gssMaterializingShapePrefix
      10ms  2.78% 75.00%       10ms  2.78%  github.com/odvcencio/gotreesitter.gssNodeShallowMergeHash
         0     0% 75.00%       10ms  2.78%  github.com/odvcencio/gotreesitter.gssStacksHaveDistinctMaterializingShapesWithScratch
      10ms  2.78% 77.78%       10ms  2.78%  github.com/odvcencio/gotreesitter.invisibleUnaryWrapperCollapsible (inline)
      10ms  2.78% 80.56%       10ms  2.78%  github.com/odvcencio/gotreesitter.lookupShapePrefixCache
      10ms  2.78% 83.33%       10ms  2.78%  github.com/odvcencio/gotreesitter.materializeReduceChildrenFromScratch
      10ms  2.78% 86.11%       10ms  2.78%  github.com/odvcencio/gotreesitter.stackEntryNodeEndByte
         0     0% 86.11%       10ms  2.78%  github.com/odvcencio/gotreesitter.stackMaterializingShapeHashWithScratch
      10ms  2.78% 88.89%       10ms  2.78%  github.com/odvcencio/gotreesitter.symbolVisibleForPending (inline)
         0     0% 88.89%       10ms  2.78%  runtime.(*unwinder).next
      10ms  2.78% 91.67%       10ms  2.78%  runtime.(*unwinder).resolveInternal
         0     0% 91.67%       10ms  2.78%  runtime.callers
         0     0% 91.67%       10ms  2.78%  runtime.callers.func1
         0     0% 91.67%       10ms  2.78%  runtime.gcBgMarkWorker
         0     0% 91.67%       10ms  2.78%  runtime.gcBgMarkWorker.func2
         0     0% 91.67%       10ms  2.78%  runtime.gcDrain
         0     0% 91.67%       10ms  2.78%  runtime.gcDrainMarkWorkerFractional (inline)
      10ms  2.78% 94.44%       10ms  2.78%  runtime.gcWriteBarrier2
         0     0% 94.44%       10ms  2.78%  runtime.mProf_Malloc
      10ms  2.78% 97.22%       10ms  2.78%  runtime.memclrNoHeapPointers
         0     0% 97.22%       10ms  2.78%  runtime.memclrNoHeapPointersChunked
         0     0% 97.22%       10ms  2.78%  runtime.profilealloc
         0     0% 97.22%       10ms  2.78%  runtime.scanobject
         0     0% 97.22%       10ms  2.78%  runtime.tracebackPCs
      10ms  2.78%   100%       10ms  2.78%  runtime.typePointers.next
