File: p13_cgo_harness.test
Build ID: 709cbead639fc959c0bd4df7626fce7f43dbcbca
Type: cpu
Time: 2026-08-21 14:23:09 PDT
Duration: 1.71s, Total samples = 1.42s (82.95%)
Showing nodes accounting for 1.42s, 100% of 1.42s total
      flat  flat%   sum%        cum   cum%
         0     0%   100%      0.02s  1.41%  github.com/odvcencio/gotreesitter.(*parserScratch).snapshotDFARelexState
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.(*rawShape).childCount (inline)
         0     0%   100%      0.02s  1.41%  github.com/odvcencio/gotreesitter.(*resultRootBuild).buildSingleRootTree
         0     0%   100%      0.02s  1.41%  github.com/odvcencio/gotreesitter.(*resultRootBuild).finalizeRoot
         0     0%   100%      0.02s  1.41%  github.com/odvcencio/gotreesitter.(*resultRootBuild).finishTree
         0     0%   100%      0.02s  1.41%  github.com/odvcencio/gotreesitter.aliasedNodeInArena
         0     0%   100%      0.02s  1.41%  github.com/odvcencio/gotreesitter.applyDirectFieldToUnassignedFlattenedSpan
         0     0%   100%      0.02s  1.41%  github.com/odvcencio/gotreesitter.applyFieldToFlattenedSpan
         0     0%   100%      0.02s  1.41%  github.com/odvcencio/gotreesitter.applyParentFieldToFlattenedHiddenSpan
         0     0%   100%      0.02s  1.41%  github.com/odvcencio/gotreesitter.applyResultCompatibility
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.assignAllUnassignedFlattenedFields
         0     0%   100%      0.02s  1.41%  github.com/odvcencio/gotreesitter.cRecoveryMergeCostsDiffer
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.cStackCleanZeroErrorCostForMerge
         0     0%   100%      0.02s  1.41%  github.com/odvcencio/gotreesitter.cStackErrorCostForMergeCached
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.cStackErrorCostForMergeWithScratch
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.cachedStackEntryErrorRank
         0     0%   100%      0.01s   0.7%  github.com/odvcencio/gotreesitter.cleanAcceptedStackSelectableAtEOF
