File: p13_cgo_harness.test
Build ID: 709cbead639fc959c0bd4df7626fce7f43dbcbca
Type: cpu
Time: 2026-08-21 14:22:49 PDT
Duration: 2.01s, Total samples = 520ms (25.91%)
Showing nodes accounting for 520ms, 100% of 520ms total
      flat  flat%   sum%        cum   cum%
         0     0% 40.38%       20ms  3.85%  github.com/odvcencio/gotreesitter.(*Parser).cHandleError
      20ms  3.85% 44.23%       20ms  3.85%  github.com/odvcencio/gotreesitter.(*Parser).cNodeMemoPrimaryHit (inline)
      10ms  1.92% 46.15%       20ms  3.85%  github.com/odvcencio/gotreesitter.(*Parser).cNodeMemoSlot
         0     0% 46.15%       20ms  3.85%  github.com/odvcencio/gotreesitter.(*Parser).cStackCumulativeNodeCount
         0     0% 46.15%       20ms  3.85%  github.com/odvcencio/gotreesitter.(*Parser).ensureParseInitialCapacity
      10ms  1.92% 48.08%       20ms  3.85%  github.com/odvcencio/gotreesitter.(*Parser).pushStackNode
         0     0% 48.08%       20ms  3.85%  github.com/odvcencio/gotreesitter.(*nodeArena).ensureNodeCapacity
         0     0% 48.08%       20ms  3.85%  github.com/odvcencio/gotreesitter.(*nodeArena).rawShapeHash
      20ms  3.85% 51.92%       20ms  3.85%  github.com/odvcencio/gotreesitter.(*nodeArena).storeRawShapeHash (inline)
      10ms  1.92% 53.85%       20ms  3.85%  github.com/odvcencio/gotreesitter.cachedStackEntryErrorRank
         0     0% 53.85%       20ms  3.85%  github.com/odvcencio/gotreesitter.cleanAcceptedStackSelectableAtEOF
         0     0% 53.85%       20ms  3.85%  github.com/odvcencio/gotreesitter.computeStackEntryErrorRank
         0     0% 53.85%       20ms  3.85%  github.com/odvcencio/gotreesitter.mergeStacksSmallForLanguage
      10ms  1.92% 55.77%       20ms  3.85%  github.com/odvcencio/gotreesitter.rawShapeComputeContentHash
         0     0% 55.77%       20ms  3.85%  github.com/odvcencio/gotreesitter.stackEntryResultErrorRank
         0     0% 55.77%       20ms  3.85%  github.com/odvcencio/gotreesitter.stackResultErrorRank
      20ms  3.85% 59.62%       20ms  3.85%  runtime.bulkBarrierPreWrite
         0     0% 59.62%       20ms  3.85%  runtime.mallocgcLarge
         0     0% 59.62%       20ms  3.85%  runtime.memclrHasPointers
         0     0% 59.62%       20ms  3.85%  runtime.memclrNoHeapPointersChunked
      20ms  3.85% 63.46%       20ms  3.85%  runtime.nanotime (inline)
      20ms  3.85% 67.31%       20ms  3.85%  runtime.typePointers.next
         0     0% 67.31%       20ms  3.85%  time.Now
         0     0% 67.31%       20ms  3.85%  time.Since
         0     0% 67.31%       20ms  3.85%  time.runtimeNano
         0     0% 67.31%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Node).isFragileLeft (inline)
      10ms  1.92% 69.23%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Node).isMissing (inline)
         0     0% 69.23%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Parser).appendReduceChildItemToScratch
         0     0% 69.23%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Parser).appendReduceChildrenToScratch
         0     0% 69.23%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Parser).applyAction
         0     0% 69.23%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Parser).applyShiftAction
         0     0% 69.23%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Parser).collapsibleUnarySelfReduction
         0     0% 69.23%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Parser).growCNodeMemoCacheTo
         0     0% 69.23%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Parser).lookupActionIndex
      10ms  1.92% 71.15%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Parser).lookupActionIndexSmall
         0     0% 71.15%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Parser).recycleDemotedGSS
         0     0% 71.15%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Parser).settleEagerDefaultReduceChainForReuse
      10ms  1.92% 73.08%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Parser).shouldDeferContextualCloseAngleAction
         0     0% 73.08%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Parser).tryDemoteSingleLinearGSS
         0     0% 73.08%       10ms  1.92%  github.com/odvcencio/gotreesitter.(*Parser).tryFastUnaryCollapseFromGSS
