File: p13_cgo_harness.test
Build ID: 709cbead639fc959c0bd4df7626fce7f43dbcbca
Type: cpu
Time: 2026-08-21 14:22:49 PDT
Duration: 2.02s, Total samples = 570ms (28.20%)
Showing nodes accounting for 570ms, 100% of 570ms total
      flat  flat%   sum%        cum   cum%
         0     0% 49.12%       20ms  3.51%  github.com/odvcencio/gotreesitter.(*Parser).cStackErrorCost
         0     0% 49.12%       20ms  3.51%  github.com/odvcencio/gotreesitter.(*Parser).ensureParseInitialCapacity
      10ms  1.75% 50.88%       20ms  3.51%  github.com/odvcencio/gotreesitter.(*Parser).parseInternal.func9 (partial-inline)
         0     0% 50.88%       20ms  3.51%  github.com/odvcencio/gotreesitter.(*Parser).recycleDemotedGSS
         0     0% 50.88%       20ms  3.51%  github.com/odvcencio/gotreesitter.(*Parser).tryDemoteSingleLinearGSS
      20ms  3.51% 54.39%       20ms  3.51%  github.com/odvcencio/gotreesitter.(*Parser).updateParserStateTokenSource
         0     0% 54.39%       20ms  3.51%  github.com/odvcencio/gotreesitter.(*nodeArena).ensureNodeCapacity
      10ms  1.75% 56.14%       20ms  3.51%  github.com/odvcencio/gotreesitter.clearParseStackEntryCaches (inline)
         0     0% 56.14%       20ms  3.51%  github.com/odvcencio/gotreesitter.mergeStacksWithScratch
         0     0% 56.14%       20ms  3.51%  github.com/odvcencio/gotreesitter.rawShapeChild.entry (inline)
      20ms  3.51% 59.65%       20ms  3.51%  github.com/odvcencio/gotreesitter.stackEntryNodeParseState
         0     0% 59.65%       20ms  3.51%  runtime.deductAssistCredit
         0     0% 59.65%       20ms  3.51%  runtime.gcAssistAlloc
         0     0% 59.65%       20ms  3.51%  runtime.gcAssistAlloc.func2
         0     0% 59.65%       20ms  3.51%  runtime.gcAssistAlloc1
         0     0% 59.65%       20ms  3.51%  runtime.gcBgMarkWorker
         0     0% 59.65%       20ms  3.51%  runtime.gcBgMarkWorker.func2
         0     0% 59.65%       20ms  3.51%  runtime.gcDrain
         0     0% 59.65%       20ms  3.51%  runtime.gcDrainMarkWorkerFractional (inline)
         0     0% 59.65%       20ms  3.51%  runtime.gcDrainN
         0     0% 59.65%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Node).setFieldMetadata
         0     0% 59.65%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).aliasedNodeInArena
         0     0% 59.65%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).applyReduceAction
      10ms  1.75% 61.40%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).buildReduceChildrenNoAliasNoFieldsPlanned
         0     0% 61.40%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).cAcceptRootRebuild
      10ms  1.75% 63.16%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).canCollapseInvisibleUnaryWrapper
      10ms  1.75% 64.91%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).checkpointTransientScratch
         0     0% 64.91%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).collapseUnaryChildForReductionWithRule
         0     0% 64.91%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).collapsibleRawUnarySelfReduction
         0     0% 64.91%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).completeConflictReduceFrontier
         0     0% 64.91%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).contextualActionIndex
         0     0% 64.91%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).lookupActionIndex
      10ms  1.75% 66.67%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).lookupActionIndexSmall
         0     0% 66.67%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).noteStopActionDiagnostic
      10ms  1.75% 68.42%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).noteStopActionResult
         0     0% 68.42%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).parseInternal.func10 (inline)
      10ms  1.75% 70.18%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).promotePrimaryStack
         0     0% 70.18%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).settleEagerDefaultReduceChainForReuse
         0     0% 70.18%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Parser).tryFastUnaryCollapseFromGSS
         0     0% 70.18%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*Tree).Release
         0     0% 70.18%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).Next
      10ms  1.75% 71.93%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).demoteSwiftMemberKeyword
         0     0% 71.93%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).nextDFAToken
         0     0% 71.93%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).scanDFATokenForState
         0     0% 71.93%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*dfaTokenSource).scanPreferredTokenForState
      10ms  1.75% 73.68%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*glrStack).depth
         0     0% 73.68%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*gssScratch).recycleForParse
         0     0% 73.68%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*nodeArena).Release
      10ms  1.75% 75.44%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*nodeArena).allocNode (inline)
      10ms  1.75% 77.19%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*nodeArena).allocNodeFieldMetadata
      10ms  1.75% 78.95%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*nodeArena).allocRawShapeChildren
      10ms  1.75% 80.70%       10ms  1.75%  github.com/odvcencio/gotreesitter.(*nodeArena).rawShapeForRef (inline)
